team_id,title,id,match_index,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def
152,Celta Vigo,152,1,a,0.917413,0.664974,0.917413,0.664974,2,6,1,1,1.5911,d,2025-08-23 15:00:00,0,1,0,1,0.2524390000000001,245,15,300,17
152,Celta Vigo,152,2,h,0.905201,0.714458,0.905201,0.714458,12,3,1,1,1.4881,d,2025-08-27 19:00:00,0,1,0,1,0.190743,298,15,313,23
152,Celta Vigo,152,3,h,0.876041,0.96978,0.876041,0.96978,9,7,1,1,1.2254,d,2025-08-31 15:00:00,0,1,0,1,-0.09373900000000002,215,22,411,19
152,Celta Vigo,152,4,h,1.80278,1.41213,1.0595,1.41213,11,11,1,1,1.6802,d,2025-09-14 12:00:00,0,1,0,1,-0.35263,265,22,337,15
152,Celta Vigo,152,5,a,1.28175,1.3145,1.28175,1.3145,10,7,1,1,1.3304,d,2025-09-21 12:00:00,0,1,0,1,-0.03275000000000006,286,14,211,17
152,Celta Vigo,152,6,a,0.821768,4.03596,0.821768,3.29281,5,6,1,2,0.0572,l,2025-09-28 14:15:00,0,0,1,0,-2.4710419999999997,289,25,213,20
152,Celta Vigo,152,7,h,2.27285,0.710823,2.27285,0.710823,12,3,1,1,2.6138999999999997,d,2025-10-05 19:00:00,0,1,0,1,1.562027,289,24,314,16
153,Real Betis,153,0,a,1.59562,0.981494,1.59562,0.981494,8,5,1,1,1.8588999999999998,d,2025-08-18 19:00:00,0,1,0,1,0.6141260000000001,405,19,165,20
153,Real Betis,153,1,h,2.13985,1.43838,2.13985,1.43838,8,0,1,0,1.8860999999999999,w,2025-08-22 19:30:00,1,0,0,3,0.70147,260,19,283,29
153,Real Betis,153,2,a,0.714458,0.905201,0.714458,0.905201,3,12,1,1,1.153,d,2025-08-27 19:00:00,0,1,0,1,-0.190743,313,23,298,15
153,Real Betis,153,3,h,0.716186,1.11141,0.716186,1.11141,4,6,1,2,0.9833,l,2025-08-31 17:00:00,0,0,1,0,-0.395224,263,26,265,31
153,Real Betis,153,4,a,2.19546,1.02425,2.19546,1.02425,16,6,2,2,2.1837,d,2025-09-14 14:15:00,0,1,0,1,1.17121,137,20,311,21
153,Real Betis,153,5,h,2.53579,0.606673,2.53579,0.606673,10,7,3,1,2.6102,w,2025-09-19 19:00:00,1,0,0,3,1.929117,288,31,286,29
153,Real Betis,153,6,h,1.18955,0.578485,1.18955,0.578485,7,5,2,0,1.8872000000000002,w,2025-09-28 19:00:00,1,0,0,3,0.6110650000000001,330,20,317,12
153,Real Betis,153,7,a,1.43721,2.0699,1.43721,1.32662,5,6,2,1,0.8617999999999999,w,2025-10-05 16:30:00,1,0,0,3,0.11059000000000019,263,11,256,18
154,Villarreal,154,0,h,2.60739,0.85578,2.60739,0.112502,20,0,2,0,2.5516,w,2025-08-15 19:30:00,1,0,0,3,2.494888,228,28,283,7
154,Villarreal,154,1,h,2.97707,0.140267,2.97707,0.140267,12,4,5,0,2.9441,w,2025-08-24 17:30:00,1,0,0,3,2.8368029999999997,295,16,307,23
154,Villarreal,154,2,a,0.96978,0.876041,0.96978,0.876041,7,9,1,1,1.4243,d,2025-08-31 15:00:00,0,1,0,1,0.09373900000000002,411,19,215,22
154,Villarreal,154,3,a,0.668177,1.5106,0.668177,1.5106,3,5,0,2,0.6283,l,2025-09-13 19:00:00,0,0,1,0,-0.8424229999999999,370,17,200,14
154,Villarreal,154,4,h,3.56395,1.95599,3.56395,1.21271,13,5,2,1,2.3619,w,2025-09-20 16:30:00,1,0,0,3,2.35124,158,24,258,11
154,Villarreal,154,5,a,2.40523,0.83617,2.40523,0.83617,6,9,2,1,2.4582,w,2025-09-23 19:30:00,1,0,0,3,1.56906,362,34,174,31
154,Villarreal,154,6,h,1.86396,1.56287,1.86396,1.56287,7,5,1,0,1.5831,w,2025-09-27 19:00:00,1,0,0,3,0.3010900000000001,267,16,204,22
154,Villarreal,154,7,a,0.956644,4.32336,0.956644,3.58009,1,13,1,3,0.0598,l,2025-10-04 19:00:00,0,0,1,0,-2.6234460000000004,350,15,169,29
157,Osasuna,157,0,a,0.201044,1.4294,0.201044,0.686125,2,9,0,1,0.2705,l,2025-08-19 19:00:00,0,0,1,0,-0.485081,271,13,174,24
157,Osasuna,157,1,h,0.946758,0.589594,0.946758,0.589594,7,4,1,0,1.6038000000000001,w,2025-08-24 15:00:00,1,0,0,3,0.35716400000000004,222,19,230,14
157,Osasuna,157,2,a,1.38167,1.36886,1.38167,1.36886,7,6,0,1,1.3569,l,2025-08-31 17:30:00,0,0,1,0,0.012809999999999988,226,19,289,20
157,Osasuna,157,3,h,1.4012,0.979149,1.4012,0.979149,0,8,2,0,1.7471,w,2025-09-14 16:30:00,1,0,0,3,0.42205099999999995,293,13,153,14
157,Osasuna,157,4,a,1.95599,3.56395,1.21271,3.56395,5,13,1,2,0.48449999999999993,l,2025-09-20 16:30:00,0,0,1,0,-2.35124,258,11,158,24
157,Osasuna,157,5,h,1.17524,1.05089,1.17524,1.05089,2,2,1,1,1.4423000000000001,d,2025-09-25 17:30:00,0,1,0,1,0.12434999999999996,341,33,195,19
157,Osasuna,157,6,a,0.578485,1.18955,0.578485,1.18955,5,7,0,2,0.8069,l,2025-09-28 19:00:00,0,0,1,0,-0.6110650000000001,317,12,330,20
157,Osasuna,157,7,h,0.692026,0.856515,0.692026,0.856515,0,3,2,1,1.1564999999999999,w,2025-10-03 19:00:00,1,0,0,3,-0.164489,129,10,238,21
158,Alaves,158,0,h,1.72315,0.74203,1.72315,0.74203,2,2,2,1,2.1765,w,2025-08-16 19:30:00,1,0,0,3,0.98112,134,21,241,12
158,Alaves,158,1,a,1.43838,2.13985,1.43838,2.13985,0,8,0,1,0.8793000000000001,l,2025-08-22 19:30:00,0,0,1,0,-0.70147,283,29,260,19
158,Alaves,158,2,h,0.855094,0.960547,0.111816,0.960547,3,9,1,1,1.3242,d,2025-08-30 15:00:00,0,1,0,1,-0.848731,293,14,187,34
158,Alaves,158,3,a,0.090756,0.866662,0.090756,0.866662,0,5,1,0,0.4545,w,2025-09-13 16:30:00,1,0,0,3,-0.775906,253,26,193,38
158,Alaves,158,4,h,0.910257,0.891992,0.166979,0.891992,4,4,1,2,1.3839,l,2025-09-20 16:30:00,0,0,1,0,-0.725013,255,32,196,25
158,Alaves,158,5,a,1.21176,0.576203,1.21176,0.576203,2,2,1,1,1.9597000000000002,d,2025-09-24 17:00:00,0,1,0,1,0.6355569999999999,138,30,190,25
158,Alaves,158,6,a,0.566415,1.04267,0.566415,1.04267,6,4,0,1,0.8887,l,2025-09-27 16:30:00,0,0,1,0,-0.476255,171,29,252,22
158,Alaves,158,7,h,2.85063,0.661537,2.10735,0.661537,6,4,3,1,2.7159000000000004,w,2025-10-05 12:00:00,1,0,0,3,1.4458129999999998,253,30,204,16
207,Elche,207,0,h,0.981494,1.59562,0.981494,1.59562,5,8,1,1,0.8518,d,2025-08-18 19:00:00,0,1,0,1,-0.6141260000000001,165,20,405,19
207,Elche,207,1,a,0.313268,1.68159,0.313268,1.68159,1,13,1,1,0.3244,d,2025-08-23 17:30:00,0,1,0,1,-1.368322,271,18,255,32
207,Elche,207,2,h,1.44309,0.969663,1.44309,0.969663,7,4,2,0,1.716,w,2025-08-29 17:30:00,1,0,0,3,0.47342699999999993,140,19,327,18
207,Elche,207,3,a,0.781151,0.346397,0.781151,0.346397,1,5,2,2,1.8296999999999999,d,2025-09-12 19:00:00,0,1,0,1,0.43475400000000003,178,28,218,40
207,Elche,207,4,h,1.57497,1.10565,1.57497,1.10565,7,3,1,0,1.7524000000000002,w,2025-09-21 16:30:00,1,0,0,3,0.46931999999999996,204,19,350,21
207,Elche,207,5,a,1.05089,1.17524,1.05089,1.17524,2,2,1,1,1.2308000000000001,d,2025-09-25 17:30:00,0,1,0,1,-0.12434999999999996,195,19,341,33
207,Elche,207,6,h,4.03596,0.821768,3.29281,0.821768,6,5,2,1,2.9095999999999997,w,2025-09-28 14:15:00,1,0,0,3,2.4710419999999997,213,20,289,25
207,Elche,207,7,a,0.661537,2.85063,0.661537,2.10735,4,6,1,3,0.1866,l,2025-10-05 12:00:00,0,0,1,0,-1.4458129999999998,204,16,253,30
223,Girona,223,0,h,0.795304,3.25355,0.795304,2.51027,1,4,1,3,0.0931,l,2025-08-15 17:00:00,0,0,1,0,-1.7149659999999998,288,12,218,30
